city,popular_area,area_url,cellid,entityid,placeid,,
Mumbai,Hill Road, Bandra West,https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants,4316640037056806912,82242,ChIJH2pNUT7J5zsRwOT3xGbI7sY,
Mumbai,Oshiwara, Andheri West,https://www.zomato.com/mumbai/oshiwara-andheri-west-restaurants,4316619118418591744,2221,ChIJ6f__jze25zsRbhQtA4ovwkQ,
Mumbai,Mahakali,https://www.zomato.com/mumbai/mahakali-restaurants,4316638840908414976,2117,1005,,
Mumbai,Kharghar,https://www.zomato.com/mumbai/kharghar-restaurants,4316632185856589824,2307,1101,,
Mumbai,Kandivali West,https://www.zomato.com/mumbai/kandivali-west-restaurants,4316619741188849664,2223,ChIJUzQVHmS35zsRXbFgnWU9f5Y,,
Mumbai,Churchgate,https://www.zomato.com/mumbai/churchgate-restaurants,	4316649561146785792,2004,ChIJYQazMFjR5zsRZ8MXxN2TFa8,,
Bengaluru,Bengaluru,https://www.zomato.com/bangalore/,4300399395616063488,4,3655,,
Bengaluru,Indiranagar,https://www.zomato.com/bangalore/indiranagar-restaurants,4300399597479526400,5413,ChIJq3MSNKYWrjsRY1PFWzuWaak,,
Bengaluru,Marathahalli,https://www.zomato.com/bangalore/marathahalli-restaurants,4300396466448367616,5404,ChIJwVxoes0TrjsRjkMaHUZ5_iE,,
Bengaluru,Whitefield,https://www.zomato.com/bangalore/whitefield-restaurants,	4300394417748967424,5401,ChIJv-HLdvARrjsRDWMNlf7r4gw,,
Bengaluru,Koramangala 5th Block,https://www.zomato.com/bangalore/koramangala-5th-block-restaurants,4300396981844443136,162246,ChIJpxifW0UUrjsRakrsJ_bZ5ac,,
Bengaluru,HSR,https://www.zomato.com/bangalore/hsr-restaurants,4300397355506597888,5007,ChIJn1ySAJwUrjsRp8hRxp30azA,,
Bengaluru,Jayanagar,https://www.zomato.com/bangalore/jayanagar-restaurants,4300398476493062144,5011,ChIJZeCUsbYVrjsRzTiyVbfE8hk,,
Bengaluru,JP Nagar,https://www.zomato.com/bangalore/jp-nagar-restaurants,	4300397873050157056,5004,ChIJZz_rixQVrjsRcal3F10EShY,,
Bengaluru,Sarjapur Road,https://www.zomato.com/bangalore/sarjapur-road-restaurants,4300395658994515968,5001,ChIJnXJKIBETrjsR6pKBkeDVayg,,
Bengaluru,Lavelle Road,https://www.zomato.com/bangalore/lavelle-road-restaurants,4300399406353481728,5103,ChIJmfkNOJ8XrjsRz4mfXMFDtJk,,
Bengaluru,Malleshwaram,https://www.zomato.com/bangalore/malleshwaram-restaurants,4300399084230934528,5203,ChIJs6dXvS4WrjsRv9tq2GNm4X4,,
Bengaluru,BTM,https://www.zomato.com/bangalore/btm-restaurants,4300397774265909248,5009,ChIJJXPQzf0UrjsRyrf4VQynZ5U,,
Bengaluru,MG Road,https://www.zomato.com/bangalore/mg-road-restaurants,4300399462188056576,5106,ChIJ5aNCrYYWrjsRm6ySUAo-pf0,,
Bengaluru,Koramangala 4th Block,https://www.zomato.com/bangalore/koramangala-4th-block-restaurants,4300397084923658240,162245,ChIJO-4_UV0UrjsRWTKiHEU8O-4,,
Bengaluru,Kalyan Nagar,https://www.zomato.com/bangalore/kalyan-nagar-restaurants,4300400142940372992,1,ChIJY7diFSUXrjsR_roNBj1PsAQ,,
Bengaluru,Electronic City,https://www.zomato.com/bangalore/electronic-city-restaurants,	4300494039515398144,501,8932,,
Bengaluru,Bannerghatta Road,https://www.zomato.com/bangalore/bannerghatta-road-restaurants,4300397943917117440,5008,ChIJ9_JgQCUVrjsRM_r6XC0QUUY,,
Bengaluru,Bellandur,https://www.zomato.com/bangalore/bellandur-restaurants,4300396271027355648,5015,ChIJ-TZPpJ8TrjsREzwg8sLyxyg,,
Bengaluru,Koramangala 7th Block,https://www.zomato.com/bangalore/koramangala-7th-block-restaurants,4300397020499148800,162248,ChIJJWn8ZE4UrjsRP1eLfU44PDw,,
Bengaluru,New BEL Road,https://www.zomato.com/bangalore/new-bel-road-restaurants,4300401081390727168,1,ChIJKwHREU49rjsRfsyOnaRJrkA,,
Bengaluru,Residency Road,https://www.zomato.com/bangalore/residency-road-restaurants,4300399402058514432,1,ChIJXVtruXgWrjsRtk1RJbWMevQ,,
Bengaluru,Koramangala 6th Block,https://www.zomato.com/bangalore/koramangala-6th-block-restaurants,4300396977549475840,162247,538,,
Bengaluru,Church Street,https://www.zomato.com/bangalore/church-street-restaurants,	4300399417090899968,73037,833,,
Bengaluru,Brigade Road,https://www.zomato.com/bangalore/brigade-road-restaurants,4300399425680834560,5112,ChIJc7idFdUVrjsRUBXgvTaCMcw,,
Bengaluru,Old Airport Road,https://www.zomato.com/bangalore/old-airport-road-restaurants,4300396648984477696,5408,ChIJcxjEwfcTrjsRVuWUuRZFWkE,,
Bengaluru,Banashankari,https://www.zomato.com/bangalore/banashankari-restaurants,4300443021746372608,5003,ChIJV_NS8SQ-rjsRENdXhxys6Kk,,
Bengaluru,Basavanagudi,https://www.zomato.com/bangalore/basavanagudi-restaurants,4300398414216036352,5012,ChIJxdRhnpIVrjsRS2oqBnVT9x8,,
Bengaluru,Rajajinagar,https://www.zomato.com/bangalore/rajajinagar-restaurants,4300442368911343616,521,ChIJM9Nu8ow9rjsRaeed5w_6Ojo,,
Bengaluru,Brookefield,https://www.zomato.com/bangalore/brookefield-restaurants,4300394632497332224,5403,ChIJgRnbdCISrjsRXuUKuUExz2s,,
Bengaluru,Kammanahalli,https://www.zomato.com/bangalore/kammanahalli-restaurants,4300400151530307584,5308,ChIJ-0_-PicXrjsRGY9rcjSc48k,,
Pune,Pune,https://www.zomato.com/pune/,4306215736965070848,3207,1165,,
Pune,Baner,https://www.zomato.com/pune/baner-restaurants,4306213991060865024,3403,ChIJK03K2cm-wjsRSjKgf7EMh-8,,
Pune,Viman Nagar,https://www.zomato.com/pune/viman-nagar-restaurants,4306216701185228800,3207,ChIJ73wcTkbBwjsRTuLrCkYE5f0,,
Pune,Hinjawadi,https://www.zomato.com/pune/hinjawadi-restaurants,4306210638838890496,3305,54551,,
Pune,Koregaon Park,https://www.zomato.com/pune/koregaon-park-restaurants,4306216404832485376,3307,ChIJKdzUGQHBwjsRpDocLKu5o-E,,
Pune,Wakad,https://www.zomato.com/pune/wakad-restaurants,4306208079038382080,3419,ChIJqSNMjW65wjsRyMAHUH6UhZ4,,
Pune,Kothrud,https://www.zomato.com/pune/kothrud-restaurants,4306214998230695936,341,7608,,
Pune,Kalyani Nagar,https://www.zomato.com/pune/kalyani-nagar-restaurants,4306216460667060224,3306,ChIJR-qYpMvBwjsRq4NQ6WnjmDo,,
Pune,Kharadi,https://www.zomato.com/pune/kharadi-restaurants,4306219542306095104,3434,ChIJ0-RZ_tvDwjsRpYFDKcos5lY,,
Pune,Mundhwa,https://www.zomato.com/pune/mundhwa-restaurants,4306217079142350848,72141,8286,,
Pune,Pimple Saudagar,https://www.zomato.com/pune/pimple-saudagar-restaurants,4306207473447993344,3446,ChIJq6qqquG4wjsR-iAJ4CQwag4,,
Pune,Aundh,https://www.zomato.com/pune/aundh-restaurants,4306214452769849344,3401,ChIJ87ZWADC_wjsRISW0Rt6VCRI,,
Pune,FC Road,https://www.zomato.com/pune/fc-road-restaurants,4306214753417560064,3011,ChIJmyyJmYC_wjsRFA0GO1llLSU,,
Pune,Hadapsar,https://www.zomato.com/pune/hadapsar-restaurants,	4306217465689407488,3304,ChIJS1VbTvjBwjsRtRCrqnZDZ1c,,
Pune,Senapati Bapat Road,https://www.zomato.com/pune/senapati-bapat-road-restaurants,4306214712615370752,3416,ChIJ36i_f3e_wjsRaxld6SnrQ58,,
Pune,Magarpatta,https://www.zomato.com/pune/magarpatta-restaurants,	4306216986800553984,3309,ChIJYR2NkojBwjsRvZRguylEgQU,,
Pune,Bavdhan,https://www.zomato.com/pune/bavdhan-restaurants,	4306213510024527872,3404,ChIJxYqwmw2_wjsRDcapJBhpk0I,,
